,name,salary_min,salary_max,salary_zcurrency,link,website
0,Продуктовый аналитик (удаленно),150000,200000,руб.,https://hh.ru/vacancy/48176685?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
1,Аналитик по оптимизации бизнес процессов,Не указано,Не указано,руб.,https://hh.ru/vacancy/48179203?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
2,Руководитель отдела аналитики,Не указано,240000,руб.,https://hh.ru/vacancy/49190564?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
3,Менеджер по аналитике Qlik Sense,Не указано,Не указано,руб.,https://hh.ru/vacancy/48614132?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
4,Аналитик,Не указано,Не указано,руб.,https://hh.ru/vacancy/47312117?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
5,Бизнес-аналитик,Не указано,Не указано,руб.,https://hh.ru/vacancy/41044610?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
6,Специалист по аналитике,Не указано,Не указано,руб.,https://hh.ru/vacancy/46209846?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
7,Фрод-аналитик,39000,Не указано,руб.,https://hh.ru/vacancy/48616684?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
8,Системный аналитик,120000,Не указано,руб.,https://hh.ru/vacancy/47986872?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
9,Аналитик по продукту,Не указано,Не указано,руб.,https://hh.ru/vacancy/49152753?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
10,Продуктовый аналитик в Skypro,180000,250000,руб.,https://hh.ru/vacancy/48766446?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
11,Специалист по маркетингу (аналитика),Не указано,Не указано,руб.,https://hh.ru/vacancy/46055425?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
12,Аналитик баз данных,Не указано,Не указано,руб.,https://hh.ru/vacancy/48373478?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
13,Веб - Аналитик,120000,Не указано,руб.,https://hh.ru/vacancy/49058653?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
14,Аналитик данных для департамента персонала,150000,180000,руб.,https://hh.ru/vacancy/47149278?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
15,Бизнес-аналитик,Не указано,Не указано,руб.,https://hh.ru/vacancy/48377665?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
16,Аналитик данных,Не указано,Не указано,руб.,https://hh.ru/vacancy/46241509?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
17,Руководитель отдела BI-аналитики,Не указано,Не указано,руб.,https://hh.ru/vacancy/47745999?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
18,Бизнес-аналитик,Не указано,Не указано,руб.,https://hh.ru/vacancy/48717090?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
19,Бизнес-аналитик,Не указано,Не указано,руб.,https://hh.ru/vacancy/48717156?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
20,Бизнес-аналитик,105000,115000,руб.,https://hh.ru/vacancy/49229322?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
21,Аналитик / Бизнес-аналитик,150000,Не указано,руб.,https://hh.ru/vacancy/47262649?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
22,Дата аналитик,Не указано,Не указано,руб.,https://hh.ru/vacancy/48518085?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
23,Аналитик данных (Департамент закупок),Не указано,150000,руб.,https://hh.ru/vacancy/33368305?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
24,Аналитик SQL,80000,Не указано,руб.,https://hh.ru/vacancy/49216920?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
25,Аналитик,100000,160000,руб.,https://hh.ru/vacancy/48606863?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
26,"Младший аналитик/ аналитик (направление ""Консалтинг"")",50000,60000,руб.,https://hh.ru/vacancy/48943418?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
27,Системный аналитик,170000,250000,руб.,https://hh.ru/vacancy/49147847?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
28,Игровой аналитик / game analyst / гейм-аналитик,2500,Не указано,USD,https://hh.ru/vacancy/49165287?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
29,Системный аналитик,Не указано,400000,руб.,https://hh.ru/vacancy/47607176?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
30,Продуктовый аналитик,Не указано,Не указано,руб.,https://hh.ru/vacancy/49131576?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
31,Бизнес-аналитик,9000000,25000000,сум,https://hh.ru/vacancy/49172445?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
32,Бизнес-аналитик,Не указано,Не указано,сум,https://hh.ru/vacancy/49243920?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
33,Аналитик данных,70000,70000,руб.,https://hh.ru/vacancy/49025885?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
34,Трейдер-аналитик,Не указано,100000,руб.,https://hh.ru/vacancy/49209837?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
35,Аналитик,50000,200000,руб.,https://hh.ru/vacancy/46892533?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
36,Бизнес-аналитик,130000,250000,руб.,https://hh.ru/vacancy/47738861?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
37,Ведущий аналитик,180000,190000,руб.,https://hh.ru/vacancy/48724266?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
38,Бизнес-аналитик - Анализ рынка,100000,Не указано,руб.,https://hh.ru/vacancy/48623573?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
39,Финансовый аналитик,40000,50000,грн.,https://hh.ru/vacancy/49243381?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://hh.ru
